YEAR,DOI,CITATION,CITATION METADATA,AUTHORS,SAMPLE NAME,UNIQUE_ID,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION DATE,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,CRYSTAL,RIM / CORE (MINERAL GRAINS),INCLUSION TYPE,MINERAL (INCLUSION),RIM / CORE (INCLUSION),HOSTMINERAL (INCLUSION),LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),AL2O3(WT%)[EMP (EPMA)],CAO(WT%)[EMP (EPMA)],CH4(WT%)[MS],CL(WT%)[MS],CO1(WT%)[MS],CO2(WT%)[MS],F(WT%)[MS],FEOT(WT%)[EMP (EPMA)],H2O(WT%)[MS],K2O(WT%)[EMP (EPMA)],LOI(WT%)[EMP (EPMA)],MGO(WT%)[EMP (EPMA)],NA2O(WT%)[EMP (EPMA)],P2O5(WT%)[EMP (EPMA)],S(WT%)[MS],SIO2(WT%)[EMP (EPMA)],TIO2(WT%)[EMP (EPMA)],D18O(VS SMOW)[MS],DD(VS SMOW)[MS]
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","MK-4-1","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/MAUNA KEA;HAWAII/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.93","-154.77","19.93","-154.77","13.97","10.86","","0.023","","0.093","0.006","10.5","0.251","0.35","0.41","6.62","2.33","0.31","0.039","51.39","2.41","",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","MK-5-2","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/MAUNA KEA;HAWAII/SHIELD STAGE","-1600.0","-3000.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.93","-154.78","19.93","-154.78","13.25","9.87","","0.03","0.003","0.058","0.009","12.31","0.407","0.6","0.64","5.54","2.52","0.37","0.135","51.71","3.25","5.3","-88"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","MK-5-5","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/MAUNA KEA;HAWAII/SHIELD STAGE","-1600.0","-3000.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.93","-154.78","19.93","-154.78","13.88","11","0.002","0.015","","0.08","0.006","10.81","0.233","0.4","0.37","6.64","2.37","0.3","0.035","51.58","2.5","4.9","-62"
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","MK-5-25","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/MAUNA KEA;HAWAII/SHIELD STAGE","-1600.0","-3000.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.93","-154.78","19.93","-154.78","13.51","11.1","","0.023","","0.077","0.006","11.07","0.214","0.37","0.35","6.53","2.42","0.29","0.066","51.84","2.49","",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","MK-6-6","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/MAUNA KEA;HAWAII/SHIELD STAGE","-1600.0","-3000.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.95","-154.79","19.95","-154.79","13.69","10.9","","0.023","","0.061","0.011","10.79","0.234","0.42","0.36","6.49","2.37","0.33","0.029","51.98","2.69","5.1",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","MK-6-18","","EAST RIFT ZONE/HAWAII/HAWAIIAN ISLANDS/MAUNA KEA;HAWAII/SHIELD STAGE","-1600.0","-3000.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.95","-154.79","19.95","-154.79","14.13","10.7","","0.032","","0.087","0.006","10.87","0.221","0.38","0.4","6.68","2.28","0.29","0.114","51.84","2.44","",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","H-1-5","","HAWAII/HAWAIIAN ISLANDS/HUALALAI;HAWAII/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.9","-156.27","19.9","-156.27","14.14","11.06","","0.021","0.006","0.079","0.002","10.49","0.133","0.34","0.28","6.71","2.33","0.25","0.041","52.18","2.12","5.5",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","H-1-7","","HAWAII/HAWAIIAN ISLANDS/HUALALAI;HAWAII/SHIELD STAGE","-1500.0","-1500.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT;NOT GIVEN","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.84","-156.13","19.84","-156.13","13.95","10.98","0.012","0.012","0.007","0.092","0.002","10.67","0.226","0.31","0.39","7.27","2.27","0.26","0.039","51.92","2.14","5.5",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","HP","","HAWAII/HAWAIIAN ISLANDS/HUALALAI;HAWAII/SHIELD STAGE","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","rock modes from GEOROC","","","","","","F","","GL","","","","","","","","19.53","-156.2","19.53","-156.2","14.26","10.91","0.009","0.025","0.005","0.081","0.002","10.1","0.191","0.37","0.39","6.7","2.4","0.26","0.08","52.03","2.3","5.5",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KO-2","","HAWAII/HAWAIIAN ISLANDS/KOHALA;HAWAII","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","20.5","-155.9","20.5","-155.9","13.53","10.31","","","","","","12.86","","0.55","","5.9","2.71","0.43","","50.45","3.4","5.6",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","KO-1-17","","HAWAII/HAWAIIAN ISLANDS/KOHALA;HAWAII","","","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","20.5","-155.9","20.5","-155.9","13.99","11.4","","","","","","11.35","","0.45","","6","2.6","0.33","","51.6","2.18","5",""
"1989","10.1029/JB094iB08p10525","MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES","Journal:J. GEOPHYS. RES.;Volume:B94;Issue:;BookTitle:;FirstPage:10525;LastPage:10538","GARCIA M. O.;MUENOW D. W.;AGGREY K. E.;O^NEIL J. R.","ML-2-1","","HAWAII/HAWAIIAN ISLANDS/MAUNA LOA;HAWAII/SHIELD STAGE/SOUTH(WEST) RIFT ZONE","-400.0","-2400.0","DR","","","SAQ","volcanic rock","THOLEIITIC BASALT;NOT GIVEN","","None$None;rock modes from GEOROC","","","","","","F","","GL","","","","","","","","18.83","-155.71","18.83","-155.71","13.76","10.88","","0.01","","0.008","0.002","11.26","0.03","0.48","0.07","6.36","2.37","0.28","0.021","51.39","2.54","4.8",""
